REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Ireland (Eire)","Armenia","Total","EXPORT","Total","May. 2021",169
"Luxembourg","Armenia","Total","EXPORT","Total","May. 2021",6462
"Estonia","Armenia","Total","EXPORT","Total","May. 2021",44969
"Croatia","Armenia","Total","EXPORT","Total","May. 2021",65755
"Cyprus","Armenia","Total","EXPORT","Total","May. 2021",106253
"Portugal","Armenia","Total","EXPORT","Total","May. 2021",317484
"Sweden","Armenia","Total","EXPORT","Total","May. 2021",385330
"Romania","Armenia","Total","EXPORT","Total","May. 2021",397261
"Greece","Armenia","Total","EXPORT","Total","May. 2021",610173
"Finland","Armenia","Total","EXPORT","Total","May. 2021",672791
"Denmark","Armenia","Total","EXPORT","Total","May. 2021",707085
"Slovenia","Armenia","Total","EXPORT","Total","May. 2021",1174996
"Latvia","Armenia","Total","EXPORT","Total","May. 2021",1196552
"Slovakia","Armenia","Total","EXPORT","Total","May. 2021",1199093
"Lithuania","Armenia","Total","EXPORT","Total","May. 2021",1486963
"Hungary","Armenia","Total","EXPORT","Total","May. 2021",1597343
"Austria","Armenia","Total","EXPORT","Total","May. 2021",1731238
"Spain (incl. Canary Islands 'XB' from 1997)","Armenia","Total","EXPORT","Total","May. 2021",1732359
"Bulgaria","Armenia","Total","EXPORT","Total","May. 2021",2340336
"Poland","Armenia","Total","EXPORT","Total","May. 2021",2627389
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Armenia","Total","EXPORT","Total","May. 2021",3353354
"Netherlands","Armenia","Total","EXPORT","Total","May. 2021",3621864
"Belgium (incl. Luxembourg 'LU' -> 1998)","Armenia","Total","EXPORT","Total","May. 2021",4340678
"Germany (incl. German Democratic Republic 'DD' from 1991)","Armenia","Total","EXPORT","Total","May. 2021",9150165
"Czechia","Armenia","Total","EXPORT","Total","May. 2021",10074099
"Italy (incl. San Marino 'SM' -> 1993)","Armenia","Total","EXPORT","Total","May. 2021",10478055
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Armenia","Total","EXPORT","Total","May. 2021",41223618
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Armenia","Total","EXPORT","Total","May. 2021",41289373
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Armenia","Total","EXPORT","Total","May. 2021",59418216
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Armenia","Total","EXPORT","Total","May. 2021",59418216
