REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Christmas Island","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",21273
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Heard Island and McDonald Islands","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",72286
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Norfolk Island","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",79459
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Niue","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",89731
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Bouvet Island","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",248928
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Cocos Islands (or Keeling Islands)","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",260887
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","British Indian Ocean Territory","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",587867
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Nauru","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",593499
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Western Sahara","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",987441
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Pitcairn","TOTAL-Total","2-EXPORT","T-Total","202252-Jan.-Dec. 2022",1195375
