REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Malta","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",3552
"Cyprus","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",1630850
"Luxembourg","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",9067955
"Greece","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",11439489
"Portugal","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",11985049
"Croatia","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",22776935
"Ireland (Eire)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",28057327
"Bulgaria","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",28310956
"Denmark","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",60270883
"Slovenia","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",60872352
"Romania","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",61567593
"Estonia","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",100806614
"Slovakia","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",111816601
"Sweden","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",127719118
"Hungary","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",137063342
"Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",139996926
"Austria","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",165649223
"Latvia","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",193435683
"Finland","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",262106936
"Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",267926437
"Czechia","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",279450120
"Lithuania","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",369902289
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",433883542
"Netherlands","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",506542171
"Italy (incl. San Marino 'SM' -> 1993)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",601454603
"Poland","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",647278497
"Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",1744282611
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",5020860210
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",5043637145
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",6385297654
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Dec. 2020",6385297654
