REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Cyprus","Uzbekistan","Total","EXPORT","Total","May. 2023",17939
"Luxembourg","Uzbekistan","Total","EXPORT","Total","May. 2023",165473
"Croatia","Uzbekistan","Total","EXPORT","Total","May. 2023",195756
"Portugal","Uzbekistan","Total","EXPORT","Total","May. 2023",384819
"Romania","Uzbekistan","Total","EXPORT","Total","May. 2023",658400
"Slovakia","Uzbekistan","Total","EXPORT","Total","May. 2023",1417157
"Greece","Uzbekistan","Total","EXPORT","Total","May. 2023",1706279
"Sweden","Uzbekistan","Total","EXPORT","Total","May. 2023",1967941
"Denmark","Uzbekistan","Total","EXPORT","Total","May. 2023",2522332
"Bulgaria","Uzbekistan","Total","EXPORT","Total","May. 2023",6014508
"Belgium (incl. Luxembourg 'LU' -> 1998)","Uzbekistan","Total","EXPORT","Total","May. 2023",6297195
"Slovenia","Uzbekistan","Total","EXPORT","Total","May. 2023",7134065
"Hungary","Uzbekistan","Total","EXPORT","Total","May. 2023",7515112
"Latvia","Uzbekistan","Total","EXPORT","Total","May. 2023",9868911
"Ireland (Eire)","Uzbekistan","Total","EXPORT","Total","May. 2023",10584411
"Austria","Uzbekistan","Total","EXPORT","Total","May. 2023",11375033
"Estonia","Uzbekistan","Total","EXPORT","Total","May. 2023",12029015
"Czechia","Uzbekistan","Total","EXPORT","Total","May. 2023",12298359
"Spain (incl. Canary Islands 'XB' from 1997)","Uzbekistan","Total","EXPORT","Total","May. 2023",16292985
"Finland","Uzbekistan","Total","EXPORT","Total","May. 2023",16707512
"Netherlands","Uzbekistan","Total","EXPORT","Total","May. 2023",21885867
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Uzbekistan","Total","EXPORT","Total","May. 2023",27908345
"Italy (incl. San Marino 'SM' -> 1993)","Uzbekistan","Total","EXPORT","Total","May. 2023",34714461
"Lithuania","Uzbekistan","Total","EXPORT","Total","May. 2023",37899757
"Poland","Uzbekistan","Total","EXPORT","Total","May. 2023",44127587
"Germany (incl. German Democratic Republic 'DD' from 1991)","Uzbekistan","Total","EXPORT","Total","May. 2023",88359585
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Uzbekistan","Total","EXPORT","Total","May. 2023",304944565
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Uzbekistan","Total","EXPORT","Total","May. 2023",304944565
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Uzbekistan","Total","EXPORT","Total","May. 2023",380048804
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Uzbekistan","Total","EXPORT","Total","May. 2023",380048804
