REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Chypre","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",597
"Luxembourg","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",12178
"Grèce","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",198327
"Croatie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",212424
"Portugal","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",331320
"Irlande (Eire)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",770984
"Estonie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",857889
"Danemark","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",1178388
"Slovaquie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",1310558
"Belgique (incl. Luxembourg 'LU' -> 1998)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",1528036
"Suède","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",1761776
"Espagne (incl. Iles Canaries 'XB' depuis 1997)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",1787820
"Roumanie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",2006761
"Bulgarie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",2624372
"Autriche","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",3781269
"Hongrie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",4107581
"Finlande","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",4553041
"Lettonie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",4840728
"Slovénie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",5501435
"Pologne","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",6330926
"Tchéquie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",6533506
"Pays-Bas","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",7396045
"Lituanie","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",9335824
"France (incl. Saint-Barthélemy 'BL' -> 2012; incl. Guyane française 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' depuis 1997; incl. Mayotte 'YT' depuis 2014)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",10084000
"Italie (incl. Saint-Marin 'SM' -> 1993)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",14666752
"Allemagne (incl. République démocratique allemande 'DD' depuis 1991)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",39845292
"Zone euro (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",106802095
"Zone euro - 20 pays (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",107014519
"Union européenne (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",131557829
"Union européenne - 27 pays (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Uzbekistan","Total","EXPORTATION","Total","Apr. 2020",131557829
