REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Cyprus","Uzbekistan","Total","EXPORT","Total","Aug. 2021",313
"Croatia","Uzbekistan","Total","EXPORT","Total","Aug. 2021",9819
"Luxembourg","Uzbekistan","Total","EXPORT","Total","Aug. 2021",37876
"Greece","Uzbekistan","Total","EXPORT","Total","Aug. 2021",121943
"Ireland (Eire)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",212916
"Portugal","Uzbekistan","Total","EXPORT","Total","Aug. 2021",318090
"Romania","Uzbekistan","Total","EXPORT","Total","Aug. 2021",511555
"Estonia","Uzbekistan","Total","EXPORT","Total","Aug. 2021",811061
"Denmark","Uzbekistan","Total","EXPORT","Total","Aug. 2021",963247
"Sweden","Uzbekistan","Total","EXPORT","Total","Aug. 2021",1713391
"Spain (incl. Canary Islands 'XB' from 1997)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",1759114
"Slovakia","Uzbekistan","Total","EXPORT","Total","Aug. 2021",1889244
"Bulgaria","Uzbekistan","Total","EXPORT","Total","Aug. 2021",2573755
"Belgium (incl. Luxembourg 'LU' -> 1998)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",3062027
"Austria","Uzbekistan","Total","EXPORT","Total","Aug. 2021",3141396
"Finland","Uzbekistan","Total","EXPORT","Total","Aug. 2021",3763451
"Slovenia","Uzbekistan","Total","EXPORT","Total","Aug. 2021",5449934
"Latvia","Uzbekistan","Total","EXPORT","Total","Aug. 2021",5827854
"Czechia","Uzbekistan","Total","EXPORT","Total","Aug. 2021",6343439
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",10699898
"Hungary","Uzbekistan","Total","EXPORT","Total","Aug. 2021",11539338
"Lithuania","Uzbekistan","Total","EXPORT","Total","Aug. 2021",11567311
"Poland","Uzbekistan","Total","EXPORT","Total","Aug. 2021",14046141
"Netherlands","Uzbekistan","Total","EXPORT","Total","Aug. 2021",18246386
"Italy (incl. San Marino 'SM' -> 1993)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",29701388
"Germany (incl. German Democratic Republic 'DD' from 1991)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",42675086
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",139285288
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",139295107
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",176985973
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Uzbekistan","Total","EXPORT","Total","Aug. 2021",176985973
