Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
192,Kuba,Куба,Cuba,0.03,1.67,0.0,0.0,0.0,0.0,0.69,0.67,6.19,11791.59,17.13,18.2,59.1,123.5
384,Kot D'ivuar,Кот-д'Ивуар,Côte d’Ivoire,10.0,40.0,50.5,150.0,106.0,31.5,21.72,29.87,33.63,85.29,69.76,641.96,1772.81,1669.4
598,Papua - Yangi Gvineya,Папуа-Новая Гвинея,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,43.0
798,Tuvalu,Тувалу,Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
148,Chad,Чад,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,43.9,0.0
008,Albaniya,Албания,Albania,2.31,0.11,0.0,0.0,0.54,12.57,2.76,5.48,11.77,34.98,17.32,60.51,45.77,45.2
196,Kipr,Кипр,Cyprus,390.39,147.26,78.24,1053.45,1500.63,17178.9,757.76,23208.55,989.59,1064.29,9427.44,843.32,5353.39,36752.2
388,Yamayka,Ямайка,Jamaica,1.99,0.0,0.0,0.0,0.39,0.54,0.34,0.15,16.86,3.93,1.99,17.62,8.9,18.4
016,Amerika Samoa,Американское Самоа,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.03,100.88,0.0,0.53,51.15,71.7
204,Benin,Бенин,Benin,0.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04,0.0,0.65,0.0,0.0
404,Keniya,Кения,Kenya,0.01,157.82,38.47,162.01,960.57,1253.67,1186.98,4571.64,2817.84,6314.18,5478.13,4667.41,4084.46,4243.2
600,Paragvay,Парагвай,Paraguay,0.0,0.0,0.0,8.62,0.0,0.0,0.0,0.0,0.0,0.0,22.39,30.12,0.0005,5.8
800,Uganda,Уганда,Uganda,1786.31,1747.8,640.05,1148.97,1953.99,1218.36,3392.68,1417.85,153.85,247.43,0.0,373.97,266.77,244.6
162,Rojdestva Oroli,остров Рождества,Christmas Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Mavritaniya,Мавритания,Mauritania,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.1,2.34,0.11,1.62,1.7
744,Svalbard va Yan-Mayen orollari,Острова Свальбард и Ян-Майен,Svalbard and Jan Mayen Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020,Andorra,Андорра,Andorra,0.0,0.0,31.61,44.84,0.0,0.0,0.0,0.0,0.0,41.21,0.01,0.0,0.01,4.2
212,Dominika,Доминика,Dominica,0.0,2.06,0.0,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
408,Koreya Xalq Demokratik Respublikasi,Корейская Народно-Демократическая Республика,Democratic People's Republic of Korea,7.87,7.46,15.31,82.53,16.81,23.39,82.42,165.86,0.07,3.98,0.9,229.82,182.72,513.5
