REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Cyprus,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,77752
Estonia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,336622
Portugal,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,387340
Slovakia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,395173
Luxembourg,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,424122
Greece,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,534987
Croatia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,786528
Romania,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,1088420
Bulgaria,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,1418939
Ireland (Eire),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,2217286
Slovenia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,2425616
Denmark,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,3700648
Latvia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,4844734
Spain (incl. Canary Islands 'XB' from 1997),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,5711189
Finland,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,6252641
Sweden,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,8036930
Hungary,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,8733104
Austria,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,12641752
Lithuania,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,15843858
Czechia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,16219579
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,22977432
Italy (incl. San Marino 'SM' -> 1993),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,28589352
Netherlands,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,29301854
Belgium (incl. Luxembourg 'LU' -> 1998),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,30727352
Poland,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,57908706
Germany (incl. German Democratic Republic 'DD' from 1991),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,73331123
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,237020185
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,237806713
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,334913039
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2021,334913039
