REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Cyprus,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,24011
Malta,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,32165
Portugal,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,138812
Luxembourg,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,356265
Greece,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,694907
Bulgaria,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,745721
Romania,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,1103330
Denmark,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,1188606
Croatia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,1428000
Slovakia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,3533215
Slovenia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,3998826
Estonia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,4216073
Latvia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,4448797
Ireland (Eire),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,5288525
Sweden,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,7240903
Finland,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,7278279
Spain (incl. Canary Islands 'XB' from 1997),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,7357356
Hungary,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,11954540
Austria,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,12394643
Czechia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,16985799
Poland,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,20138781
Lithuania,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,21128971
Belgium (incl. Luxembourg 'LU' -> 1998),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,22884386
Italy (incl. San Marino 'SM' -> 1993),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,25812312
Netherlands,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,30515475
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,32245411
Germany (incl. German Democratic Republic 'DD' from 1991),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,84088623
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,266437052
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,267865052
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,327222732
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Jan. 2022,327222732
