REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Portugal","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",46706
"Cyprus","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",217426
"Luxembourg","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",383437
"Estonia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",770350
"Croatia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",1208204
"Slovakia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",1442147
"Greece","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",1840034
"Bulgaria","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",2612864
"Ireland (Eire)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",4562486
"Latvia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",4618981
"Slovenia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",5708273
"Denmark","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",6347938
"Finland","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",8516318
"Romania","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",8553130
"Sweden","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",9258196
"Spain (incl. Canary Islands 'XB' from 1997)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",11154145
"Hungary","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",11844874
"Austria","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",16200101
"Lithuania","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",25892380
"Poland","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",40076840
"Netherlands","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",44131414
"Czechia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",47398297
"Italy (incl. San Marino 'SM' -> 1993)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",49658751
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",57684185
"Belgium (incl. Luxembourg 'LU' -> 1998)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",62500984
"Germany (incl. German Democratic Republic 'DD' from 1991)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",130122586
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",425450704
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",426658908
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",552751047
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202202-Feb. 2022",552751047
